Date,DJIA_USD,CAC40_EUR,FTSE100_GBP,NIKKEI225_JPY,USD_per_USD,USD_per_GBP,USD_per_EUR,USD_per_JPY,MXN_per_USD,MXN_per_GBP,MXN_per_EUR,MXN_per_JPY
4/23/2007,12919.40039,5917.319824,6479.700195,17455.36914,1,2.0010006427764893,1.3584003448486328,0.008433837,10.961000442504883,21.932968930925654,14.88942678098465,0.092443286
4/24/2007,12953.94043,5886.029785,6429.5,17451.76953,1,2.002082109451294,1.3636053800582886,0.008440243,10.975500106811523,21.973852406128117,14.966250994478514,0.092635886
4/25/2007,13089.88965,5947.330078,6462,17236.16016,1,2.002002000808716,1.3639029264450073,0.00842602,10.927900314331055,21.877678293928966,14.904595218615441,0.092078701
4/26/2007,13105.5,5944.439941,6469.399902,17429.16992,1,1.990485429763794,1.3588987588882446,0.008366101,10.947999954223633,21.791834393936824,14.877223550103054,0.091592069
4/27/2007,13120.94043,5930.77002,6418.700195,17400.41016,1,1.998600959777832,1.3655046224594116,0.008369601,10.876999855041504,21.73878234978929,14.852593580549524,0.091036153
5/2/2007,13211.87988,5990.129883,6484.5,17394.91992,1,1.9887832403182983,1.3588064908981323,0.008322237,10.909600257873535,21.696830151431072,14.824035643502498,0.090792276
5/8/2007,13309.07031,6034.25,6550.399902,17656.83984,1,1.9896141290664673,1.3540961742401123,0.008334028,10.838000297546387,21.563438522824868,14.675694739320761,0.090324198
5/9/2007,13362.87012,6051.629883,6549.600098,17748.11914,1,1.9933819770812988,1.3527040481567383,0.008325701,10.785499572753906,21.499620462145685,14.58958893345698,0.089796849
5/10/2007,13215.12988,6012.759766,6524.100098,17736.96094,1,1.9796099662780762,1.3483085632324219,0.00834446,10.843799591064453,21.46649374279332,14.620787846608437,0.090485647
5/11/2007,13326.21973,6050.629883,6565.700195,17553.7207,1,1.9827107191085815,1.3521004915237427,0.00832016,10.765000343322754,21.343881571913585,14.555362255459954,0.089566521
5/14/2007,13346.78027,6026.419922,6555.5,17677.93945,1,1.9791005849838257,1.3542977571487427,0.00831117,10.74899959564209,21.273351387726166,14.557346043970824,0.089336765
5/15/2007,13383.83984,6049.759766,6568.700195,17512.98047,1,1.986018419265747,1.3596007823944092,0.008318083,10.802300453186035,21.453567670470193,14.686816147811214,0.089854436
